Model,RMSE,MAE,R²
Linear Regression,0.7377910648986084,0.5683597171647385,0.26296384255283367
Decision Tree,0.7696708253737856,0.5868747152186288,0.1978934536084428
Random Forest,0.6103019832978652,0.43791826923076926,0.49567374975864165
Gradient Boosting,0.6483437456797541,0.4817888917041845,0.4308422383716378
