Model,RMSE,MAE,R²
Linear Regression,9.79647590162436,7.745559243921434,0.627553179231485
Decision Tree,7.067465463121203,4.836436084142394,0.806156201176532
Random Forest,5.519564685946992,3.7957334978700215,0.8817682338277397
Gradient Boosting,4.3500451799518745,2.862902744499234,0.9265634851957476
