Model,RMSE,MAE,R²
Linear Regression,4.97664050836272,3.9173784360513446,0.5056356537696434
Decision Tree,2.270813586694194,1.7131162790697672,0.8970710436588764
Random Forest,1.8258249307982533,1.3177334053156053,0.9334584570574771
Gradient Boosting,1.4761228960650554,1.0337041274631316,0.9565069730079592
